127.0.0.1 - - [22/Feb/2021:18:55:23 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/static/js/bootstrap.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/static/js/jquery.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/static/js/chart.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/static/js/popper.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/static/js/custom-chart.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/static/js/jquery.slim.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:18:55:24 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:00:43 +0700] "POST /CrmWeb/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:00:43 +0700] "GET /CrmWeb/home HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:00:43 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:00:50 +0700] "GET /CrmWeb/user/edit?id=8 HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:00:50 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:00:53 +0700] "GET /CrmWeb/user HTTP/1.1" 200 7901
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:00:53 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:00:58 +0700] "GET /CrmWeb/user/add HTTP/1.1" 200 6707
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:00:58 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:01:46 +0700] "POST /CrmWeb/user/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:01:46 +0700] "GET /CrmWeb/user HTTP/1.1" 200 8380
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:01:46 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:02:02 +0700] "GET /CrmWeb/user/add HTTP/1.1" 200 6707
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:02:02 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:02:31 +0700] "POST /CrmWeb/user/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:02:31 +0700] "GET /CrmWeb/user HTTP/1.1" 200 8857
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:02:31 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:02:38 +0700] "GET /CrmWeb/role HTTP/1.1" 200 7292
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:02:38 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:02:42 +0700] "GET /CrmWeb/role/add HTTP/1.1" 200 5998
