ID,NAME,START_DATE,END_DATE,STATUS_ID,PROJECT_ID,USER_ID
1,moderator,2020-12-30,2021-11-08,2,60,770
2,De-engineered,2020-05-28,2021-03-28,1,52,201
3,Proactive,2020-11-30,2021-08-27,1,100,278
4,task-force,2020-04-06,2021-08-02,2,23,724
5,Automated,2020-08-25,2021-08-17,2,31,287
6,methodical,2021-02-12,2021-08-06,1,44,218
7,Self-enabling,2020-07-01,2021-12-20,1,13,781
8,discrete,2020-07-26,2021-08-25,2,89,592
9,local,2020-10-07,2021-11-04,1,55,678
10,ability,2020-09-17,2021-03-06,2,94,152
11,Fundamental,2020-11-30,2022-01-07,1,68,286
12,composite,2020-05-27,2021-09-19,2,99,475
13,reciprocal,2020-09-03,2022-02-07,2,68,825
14,Optional,2020-04-11,2021-11-21,1,88,831
15,parallelism,2020-03-23,2021-11-11,1,97,487
17,"budgetary management",2020-10-20,2021-08-31,1,44,817
18,Devolved,2020-03-18,2021-09-18,2,66,873
19,Right-sized,2020-04-29,2022-01-28,1,35,535
20,discrete,2020-12-18,2022-01-30,1,95,751
21,Enterprise-wide,2020-02-24,2021-07-19,1,18,52
22,human-resource,2020-05-23,2021-05-06,2,47,900
23,cohesive,2021-01-20,2021-06-28,1,77,959
24,uniform,2021-01-21,2022-01-12,1,79,939
25,Cross-platform,2020-05-18,2021-06-15,2,55,646
26,neutral,2020-09-22,2021-04-08,2,42,256
27,Advanced,2020-09-27,2021-07-31,1,93,633
28,emulation,2020-07-17,2021-07-22,1,35,707
29,Stand-alone,2020-02-26,2021-05-18,1,79,511
30,stable,2020-09-20,2021-04-24,2,10,593
31,"leading edge",2020-11-11,2022-02-16,1,98,595
32,website,2020-06-03,2021-03-02,2,75,985
33,"instruction set",2020-10-10,2022-01-23,1,97,972
34,heuristic,2021-01-03,2021-07-22,2,21,969
35,Devolved,2020-04-24,2021-08-19,1,89,530
36,multi-tasking,2020-07-05,2022-02-15,1,88,613
37,Adaptive,2020-11-05,2021-05-17,2,91,403
38,Inverse,2020-05-01,2021-03-26,1,4,111
39,De-engineered,2020-09-17,2021-06-21,2,35,945
40,client-server,2021-01-04,2021-05-24,1,48,8
41,implementation,2020-03-08,2021-12-02,2,94,445
42,attitude-oriented,2020-08-30,2022-01-28,2,63,701
43,Realigned,2020-11-16,2022-02-09,1,72,776
44,Future-proofed,2020-02-23,2022-01-27,2,78,539
45,"local area network",2020-03-04,2021-10-15,2,76,924
46,Vision-oriented,2020-05-08,2021-12-11,1,80,74
47,Sharable,2020-09-12,2021-03-24,1,39,258
48,Open-source,2020-12-05,2021-07-17,1,94,272
49,global,2020-12-06,2021-06-05,1,34,699
50,bandwidth-monitored,2020-07-31,2021-04-28,2,72,977
51,Persevering,2020-08-15,2021-06-30,2,13,902
52,solution,2020-03-09,2021-08-26,1,22,867
53,Distributed,2020-04-26,2021-08-17,2,35,350
54,asynchronous,2020-12-19,2021-11-13,1,76,966
55,hierarchy,2020-12-16,2021-05-24,1,66,323
56,Programmable,2020-09-02,2022-02-13,2,76,623
57,Customer-focused,2021-01-04,2021-08-19,2,67,315
58,foreground,2021-01-08,2021-06-20,2,25,44
59,Digitized,2020-10-08,2021-05-02,1,69,220
60,protocol,2021-01-07,2021-10-31,1,97,122
61,holistic,2020-08-09,2021-11-22,1,90,501
62,neural-net,2020-09-27,2021-04-15,1,32,855
63,user-facing,2021-01-15,2022-02-17,1,5,206
64,moratorium,2020-09-11,2021-09-08,1,100,575
65,conglomeration,2020-07-28,2021-06-02,2,64,709
66,installation,2020-07-15,2021-06-30,1,28,467
67,"local area network",2020-09-23,2021-10-21,2,80,663
68,Focused,2020-10-06,2021-11-13,2,43,427
69,"open architecture",2020-12-29,2021-08-19,2,86,124
70,directional,2020-06-03,2021-07-13,2,10,307
71,archive,2020-06-24,2021-10-31,2,71,85
72,user-facing,2020-09-11,2021-10-21,1,66,615
73,Configurable,2020-09-14,2021-08-08,2,22,298
74,standardization,2020-08-29,2021-12-25,2,29,695
75,extranet,2020-06-26,2021-04-14,1,10,693
76,migration,2020-12-03,2021-11-14,1,70,786
77,"Graphic Interface",2020-05-14,2022-01-01,1,81,395
78,Vision-oriented,2020-12-15,2021-08-07,1,47,355
79,Progressive,2020-04-21,2022-01-15,1,90,737
80,Distributed,2020-08-12,2022-01-04,1,19,662
81,definition,2020-12-17,2021-09-03,1,41,535
82,"internet solution",2021-02-01,2021-10-24,2,88,882
83,Public-key,2020-04-20,2021-09-29,2,29,569
84,Balanced,2020-08-25,2022-01-26,1,52,329
85,project,2020-07-11,2021-09-08,1,93,242
86,implementation,2020-10-12,2021-07-07,1,73,48
87,parallelism,2020-08-24,2021-11-11,2,41,407
88,coherent,2020-10-29,2021-06-05,2,93,723
90,workforce,2020-12-10,2022-01-30,1,80,248
91,initiative,2020-06-25,2021-12-12,1,9,467
92,project,2020-11-19,2022-01-26,1,8,887
93,circuit,2020-06-18,2021-08-27,2,73,331
94,Customizable,2020-08-14,2021-04-10,2,79,908
95,application,2020-06-09,2022-02-09,1,56,482
96,Enterprise-wide,2021-01-29,2021-11-12,1,84,426
97,disintermediate,2020-03-15,2021-05-25,2,60,970
98,moderator,2020-08-17,2022-02-14,2,61,296
99,disintermediate,2020-05-04,2021-03-16,1,33,175
100,Cloned,2020-07-22,2022-01-12,2,96,731
101,fault-tolerant,2021-01-26,2021-12-03,2,47,505
102,task-force,2020-11-08,2021-10-06,2,33,574
103,monitoring,2021-01-04,2021-06-11,1,9,596
104,application,2021-01-14,2022-02-02,2,45,132
105,mobile,2021-01-10,2021-05-18,2,89,882
106,monitoring,2020-08-15,2021-08-02,2,4,25
107,"open architecture",2020-05-13,2021-05-11,2,97,890
108,Multi-layered,2020-03-21,2021-09-05,2,35,724
109,scalable,2021-01-15,2021-04-19,1,57,149
110,Organized,2020-05-08,2021-12-20,2,75,278
111,Vision-oriented,2020-11-12,2021-10-23,2,87,796
112,firmware,2020-07-27,2021-09-01,1,83,420
113,optimizing,2020-09-02,2022-01-31,1,72,844
114,functionalities,2020-08-20,2022-01-08,1,42,879
115,Programmable,2020-07-04,2021-10-28,2,86,656
116,upward-trending,2020-06-16,2021-09-22,2,91,853
117,stable,2020-08-28,2021-06-26,1,30,846
118,asymmetric,2020-03-22,2021-11-23,1,46,489
119,Self-enabling,2020-09-25,2021-10-28,1,68,586
